match_id,season,team1,team2,venue,pitch_type,toss_winner,toss_decision,winner
376,2021,Gujarat Titans,Rajasthan Royals,"PCA Stadium, Mullanpur",balanced,Gujarat Titans,field,Gujarat Titans
377,2022,Gujarat Titans,Delhi Capitals,"M. Chinnaswamy Stadium, Bengaluru",batting,Gujarat Titans,field,Gujarat Titans
378,2023,Gujarat Titans,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",batting,Gujarat Titans,field,Punjab Kings
379,2024,Delhi Capitals,Punjab Kings,"Ekana Stadium, Lucknow",balanced,Punjab Kings,field,Punjab Kings
380,2025,Sunrisers Hyderabad,Punjab Kings,"PCA Stadium, Mullanpur",batting,Punjab Kings,field,Sunrisers Hyderabad
381,2016,Punjab Kings,Gujarat Titans,"Eden Gardens, Kolkata",balanced,Gujarat Titans,bat,Gujarat Titans
382,2017,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",balanced,Mumbai Indians,field,Mumbai Indians
383,2018,Kolkata Knight Riders,Delhi Capitals,"PCA Stadium, Mullanpur",balanced,Delhi Capitals,bat,Kolkata Knight Riders
384,2019,Sunrisers Hyderabad,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",bowling-friendly,Rajasthan Royals,field,Sunrisers Hyderabad
385,2020,Chennai Super Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",bowling-friendly,Chennai Super Kings,field,Rajasthan Royals
386,2021,Punjab Kings,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,bat,Punjab Kings
387,2022,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",balanced,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
388,2023,Lucknow Super Giants,Mumbai Indians,"Arun Jaitley Stadium, Delhi",pace-friendly,Mumbai Indians,field,Mumbai Indians
389,2024,Gujarat Titans,Rajasthan Royals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Rajasthan Royals,field,Rajasthan Royals
390,2025,Kolkata Knight Riders,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Delhi Capitals,bat,Kolkata Knight Riders
391,2016,Gujarat Titans,Rajasthan Royals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Rajasthan Royals,field,Gujarat Titans
392,2017,Sunrisers Hyderabad,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",batting,Sunrisers Hyderabad,field,Royal Challengers Bengaluru
393,2018,Mumbai Indians,Kolkata Knight Riders,"Ekana Stadium, Lucknow",bowling-friendly,Kolkata Knight Riders,field,Mumbai Indians
394,2019,Punjab Kings,Rajasthan Royals,"Eden Gardens, Kolkata",balanced,Rajasthan Royals,bat,Rajasthan Royals
395,2020,Royal Challengers Bengaluru,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Punjab Kings,field,Punjab Kings
396,2021,Kolkata Knight Riders,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",balanced,Mumbai Indians,field,Mumbai Indians
397,2022,Kolkata Knight Riders,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Kolkata Knight Riders,field,Sunrisers Hyderabad
398,2023,Sunrisers Hyderabad,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",spin-friendly,Sunrisers Hyderabad,field,Sunrisers Hyderabad
399,2024,Kolkata Knight Riders,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,bat,Lucknow Super Giants
400,2025,Kolkata Knight Riders,Gujarat Titans,"MA Chidambaram Stadium, Chennai",spin-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
401,2016,Lucknow Super Giants,Delhi Capitals,"Eden Gardens, Kolkata",balanced,Delhi Capitals,field,Delhi Capitals
402,2017,Chennai Super Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",bowling-friendly,Chennai Super Kings,field,Kolkata Knight Riders
403,2018,Kolkata Knight Riders,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,field,Royal Challengers Bengaluru
404,2019,Delhi Capitals,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",pace-friendly,Royal Challengers Bengaluru,field,Delhi Capitals
405,2020,Gujarat Titans,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Gujarat Titans,field,Gujarat Titans
406,2021,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",balanced,Kolkata Knight Riders,field,Kolkata Knight Riders
407,2022,Royal Challengers Bengaluru,Lucknow Super Giants,"Wankhede Stadium, Mumbai",balanced,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
408,2023,Kolkata Knight Riders,Punjab Kings,"PCA Stadium, Mullanpur",bowling-friendly,Kolkata Knight Riders,field,Punjab Kings
409,2024,Lucknow Super Giants,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",batting,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
410,2025,Chennai Super Kings,Gujarat Titans,"PCA Stadium, Mullanpur",balanced,Chennai Super Kings,bat,Gujarat Titans
411,2016,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Chennai Super Kings,field,Chennai Super Kings
412,2017,Mumbai Indians,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",batting,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
413,2018,Mumbai Indians,Chennai Super Kings,"PCA Stadium, Mullanpur",balanced,Chennai Super Kings,field,Chennai Super Kings
414,2019,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Delhi Capitals,bat,Delhi Capitals
415,2020,Lucknow Super Giants,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",balanced,Delhi Capitals,bat,Delhi Capitals
416,2021,Chennai Super Kings,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Mumbai Indians,field,Chennai Super Kings
417,2022,Delhi Capitals,Punjab Kings,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Delhi Capitals,field,Punjab Kings
418,2023,Royal Challengers Bengaluru,Rajasthan Royals,"PCA Stadium, Mullanpur",spin-friendly,Royal Challengers Bengaluru,field,Rajasthan Royals
419,2024,Royal Challengers Bengaluru,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",balanced,Lucknow Super Giants,field,Lucknow Super Giants
420,2025,Punjab Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",spin-friendly,Punjab Kings,field,Kolkata Knight Riders
421,2016,Punjab Kings,Kolkata Knight Riders,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Kolkata Knight Riders,bat,Punjab Kings
422,2017,Delhi Capitals,Mumbai Indians,"Arun Jaitley Stadium, Delhi",pace-friendly,Mumbai Indians,field,Mumbai Indians
423,2018,Rajasthan Royals,Royal Challengers Bengaluru,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Royal Challengers Bengaluru,field,Rajasthan Royals
424,2019,Royal Challengers Bengaluru,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,field,Gujarat Titans
425,2020,Mumbai Indians,Sunrisers Hyderabad,"Eden Gardens, Kolkata",balanced,Sunrisers Hyderabad,bat,Mumbai Indians
426,2021,Sunrisers Hyderabad,Mumbai Indians,"Arun Jaitley Stadium, Delhi",pace-friendly,Mumbai Indians,bat,Sunrisers Hyderabad
427,2022,Punjab Kings,Royal Challengers Bengaluru,"MA Chidambaram Stadium, Chennai",spin-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
428,2023,Kolkata Knight Riders,Lucknow Super Giants,"Rajiv Gandhi Intl Stadium, Hyderabad",spin-friendly,Lucknow Super Giants,field,Kolkata Knight Riders
429,2024,Punjab Kings,Rajasthan Royals,"Eden Gardens, Kolkata",balanced,Punjab Kings,bat,Rajasthan Royals
430,2025,Kolkata Knight Riders,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",batting,Kolkata Knight Riders,field,Kolkata Knight Riders
431,2016,Gujarat Titans,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",batting,Gujarat Titans,field,Gujarat Titans
432,2017,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Kolkata Knight Riders,field,Mumbai Indians
433,2018,Lucknow Super Giants,Delhi Capitals,"Wankhede Stadium, Mumbai",batting,Lucknow Super Giants,field,Lucknow Super Giants
434,2019,Mumbai Indians,Punjab Kings,"Rajiv Gandhi Intl Stadium, Hyderabad",batting,Mumbai Indians,field,Mumbai Indians
435,2020,Mumbai Indians,Delhi Capitals,"Eden Gardens, Kolkata",batting,Mumbai Indians,field,Mumbai Indians
436,2021,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",spin-friendly,Delhi Capitals,field,Kolkata Knight Riders
437,2022,Kolkata Knight Riders,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",bowling-friendly,Mumbai Indians,field,Kolkata Knight Riders
438,2023,Gujarat Titans,Chennai Super Kings,"Wankhede Stadium, Mumbai",batting,Chennai Super Kings,field,Chennai Super Kings
439,2024,Kolkata Knight Riders,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Delhi Capitals,field,Kolkata Knight Riders
440,2025,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Sunrisers Hyderabad,bat,Mumbai Indians
441,2016,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad",balanced,Sunrisers Hyderabad,field,Sunrisers Hyderabad
442,2017,Royal Challengers Bengaluru,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Chennai Super Kings,field,Chennai Super Kings
443,2018,Punjab Kings,Sunrisers Hyderabad,"Eden Gardens, Kolkata",balanced,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
444,2019,Chennai Super Kings,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Chennai Super Kings,bat,Chennai Super Kings
445,2020,Royal Challengers Bengaluru,Sunrisers Hyderabad,"PCA Stadium, Mullanpur",balanced,Royal Challengers Bengaluru,field,Sunrisers Hyderabad
446,2021,Delhi Capitals,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",pace-friendly,Lucknow Super Giants,field,Lucknow Super Giants
447,2022,Mumbai Indians,Rajasthan Royals,"M. Chinnaswamy Stadium, Bengaluru",batting,Rajasthan Royals,bat,Mumbai Indians
448,2023,Punjab Kings,Lucknow Super Giants,"Ekana Stadium, Lucknow",bowling-friendly,Punjab Kings,field,Lucknow Super Giants
449,2024,Gujarat Titans,Punjab Kings,"PCA Stadium, Mullanpur",balanced,Punjab Kings,bat,Gujarat Titans
450,2025,Punjab Kings,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Rajasthan Royals,field,Rajasthan Royals
451,2016,Punjab Kings,Lucknow Super Giants,"Wankhede Stadium, Mumbai",batting,Lucknow Super Giants,bat,Lucknow Super Giants
452,2017,Rajasthan Royals,Delhi Capitals,"PCA Stadium, Mullanpur",bowling-friendly,Delhi Capitals,bat,Rajasthan Royals
453,2018,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",balanced,Gujarat Titans,field,Kolkata Knight Riders
454,2019,Kolkata Knight Riders,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,field,Kolkata Knight Riders
455,2020,Lucknow Super Giants,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",balanced,Kolkata Knight Riders,bat,Kolkata Knight Riders
456,2021,Gujarat Titans,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",balanced,Gujarat Titans,field,Gujarat Titans
457,2022,Delhi Capitals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
458,2023,Chennai Super Kings,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Chennai Super Kings,bat,Chennai Super Kings
459,2024,Punjab Kings,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",balanced,Punjab Kings,field,Punjab Kings
460,2025,Gujarat Titans,Delhi Capitals,"Wankhede Stadium, Mumbai",batting,Gujarat Titans,bat,Gujarat Titans
461,2016,Sunrisers Hyderabad,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",pace-friendly,Sunrisers Hyderabad,field,Sunrisers Hyderabad
462,2017,Lucknow Super Giants,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",batting,Lucknow Super Giants,field,Lucknow Super Giants
463,2018,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",spin-friendly,Delhi Capitals,field,Sunrisers Hyderabad
464,2019,Mumbai Indians,Sunrisers Hyderabad,"Ekana Stadium, Lucknow",bowling-friendly,Mumbai Indians,field,Sunrisers Hyderabad
465,2020,Lucknow Super Giants,Mumbai Indians,"Ekana Stadium, Lucknow",bowling-friendly,Mumbai Indians,field,Mumbai Indians
466,2021,Mumbai Indians,Kolkata Knight Riders,"Ekana Stadium, Lucknow",bowling-friendly,Kolkata Knight Riders,field,Mumbai Indians
467,2022,Royal Challengers Bengaluru,Delhi Capitals,"Wankhede Stadium, Mumbai",batting,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
468,2023,Gujarat Titans,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Gujarat Titans,bat,Gujarat Titans
469,2024,Mumbai Indians,Rajasthan Royals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Rajasthan Royals,field,Mumbai Indians
470,2025,Royal Challengers Bengaluru,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",spin-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
471,2016,Mumbai Indians,Punjab Kings,"Ekana Stadium, Lucknow",bowling-friendly,Mumbai Indians,field,Punjab Kings
472,2017,Sunrisers Hyderabad,Mumbai Indians,"M. Chinnaswamy Stadium, Bengaluru",batting,Sunrisers Hyderabad,field,Mumbai Indians
473,2018,Mumbai Indians,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Kolkata Knight Riders,field,Kolkata Knight Riders
474,2019,Chennai Super Kings,Mumbai Indians,"Ekana Stadium, Lucknow",batting,Chennai Super Kings,field,Chennai Super Kings
475,2020,Lucknow Super Giants,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",pace-friendly,Punjab Kings,field,Punjab Kings
476,2021,Kolkata Knight Riders,Rajasthan Royals,"Wankhede Stadium, Mumbai",batting,Rajasthan Royals,bat,Rajasthan Royals
477,2022,Rajasthan Royals,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",pace-friendly,Rajasthan Royals,bat,Royal Challengers Bengaluru
478,2023,Mumbai Indians,Chennai Super Kings,"PCA Stadium, Mullanpur",balanced,Mumbai Indians,bat,Chennai Super Kings
479,2024,Mumbai Indians,Rajasthan Royals,"Eden Gardens, Kolkata",balanced,Rajasthan Royals,bat,Rajasthan Royals
480,2025,Chennai Super Kings,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",balanced,Kolkata Knight Riders,field,Chennai Super Kings
481,2016,Chennai Super Kings,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",batting,Royal Challengers Bengaluru,field,Chennai Super Kings
482,2017,Rajasthan Royals,Kolkata Knight Riders,"Narendra Modi Stadium, Ahmedabad",balanced,Kolkata Knight Riders,bat,Rajasthan Royals
483,2018,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Narendra Modi Stadium, Ahmedabad",bowling-friendly,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
484,2019,Mumbai Indians,Delhi Capitals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Mumbai Indians,bat,Mumbai Indians
485,2020,Punjab Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",batting,Punjab Kings,field,Kolkata Knight Riders
486,2021,Royal Challengers Bengaluru,Lucknow Super Giants,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Lucknow Super Giants,bat,Royal Challengers Bengaluru
487,2022,Royal Challengers Bengaluru,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",balanced,Royal Challengers Bengaluru,field,Gujarat Titans
488,2023,Rajasthan Royals,Gujarat Titans,"M. Chinnaswamy Stadium, Bengaluru",batting,Gujarat Titans,bat,Rajasthan Royals
489,2024,Lucknow Super Giants,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,bat,Chennai Super Kings
490,2025,Delhi Capitals,Lucknow Super Giants,"Eden Gardens, Kolkata",balanced,Lucknow Super Giants,field,Lucknow Super Giants
491,2016,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",batting,Rajasthan Royals,field,Rajasthan Royals
492,2017,Rajasthan Royals,Punjab Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Rajasthan Royals,bat,Rajasthan Royals
493,2018,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chennai",spin-friendly,Mumbai Indians,field,Chennai Super Kings
494,2019,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",bowling-friendly,Delhi Capitals,field,Lucknow Super Giants
495,2020,Lucknow Super Giants,Mumbai Indians,"Eden Gardens, Kolkata",balanced,Mumbai Indians,field,Lucknow Super Giants
496,2021,Royal Challengers Bengaluru,Gujarat Titans,"Arun Jaitley Stadium, Delhi",pace-friendly,Gujarat Titans,field,Gujarat Titans
497,2022,Rajasthan Royals,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bengaluru",batting,Rajasthan Royals,bat,Rajasthan Royals
498,2023,Kolkata Knight Riders,Rajasthan Royals,"Ekana Stadium, Lucknow",spin-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
499,2024,Sunrisers Hyderabad,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,field,Sunrisers Hyderabad
500,2025,Royal Challengers Bengaluru,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Royal Challengers Bengaluru,field,Chennai Super Kings
501,2016,Mumbai Indians,Delhi Capitals,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Delhi Capitals,bat,Mumbai Indians
502,2017,Lucknow Super Giants,Sunrisers Hyderabad,"PCA Stadium, Mullanpur",bowling-friendly,Lucknow Super Giants,bat,Lucknow Super Giants
503,2018,Kolkata Knight Riders,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Chennai Super Kings,field,Chennai Super Kings
504,2019,Gujarat Titans,Punjab Kings,"Wankhede Stadium, Mumbai",batting,Gujarat Titans,field,Gujarat Titans
505,2020,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Rajasthan Royals,field,Punjab Kings
506,2021,Chennai Super Kings,Kolkata Knight Riders,"Eden Gardens, Kolkata",balanced,Kolkata Knight Riders,bat,Chennai Super Kings
507,2022,Lucknow Super Giants,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",spin-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
508,2023,Gujarat Titans,Punjab Kings,"Ekana Stadium, Lucknow",bowling-friendly,Gujarat Titans,bat,Punjab Kings
509,2024,Rajasthan Royals,Royal Challengers Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",pace-friendly,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
510,2025,Gujarat Titans,Chennai Super Kings,"PCA Stadium, Mullanpur",balanced,Chennai Super Kings,field,Chennai Super Kings
511,2016,Punjab Kings,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bengaluru",batting,Kolkata Knight Riders,field,Kolkata Knight Riders
512,2017,Punjab Kings,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Punjab Kings,field,Punjab Kings
513,2018,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Gujarat Titans,field,Gujarat Titans
514,2019,Rajasthan Royals,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Rajasthan Royals,field,Punjab Kings
515,2020,Delhi Capitals,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Delhi Capitals,bat,Delhi Capitals
516,2021,Lucknow Super Giants,Punjab Kings,"M. Chinnaswamy Stadium, Bengaluru",batting,Lucknow Super Giants,field,Lucknow Super Giants
517,2022,Chennai Super Kings,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,field,Chennai Super Kings
518,2023,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",pace-friendly,Punjab Kings,field,Chennai Super Kings
519,2024,Sunrisers Hyderabad,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",bowling-friendly,Sunrisers Hyderabad,bat,Chennai Super Kings
520,2025,Rajasthan Royals,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Chennai Super Kings,field,Chennai Super Kings
521,2016,Delhi Capitals,Gujarat Titans,"Eden Gardens, Kolkata",balanced,Gujarat Titans,field,Gujarat Titans
522,2017,Punjab Kings,Royal Challengers Bengaluru,"Arun Jaitley Stadium, Delhi",batting,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
523,2018,Rajasthan Royals,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Mumbai Indians,field,Mumbai Indians
524,2019,Delhi Capitals,Punjab Kings,"Eden Gardens, Kolkata",batting,Delhi Capitals,field,Punjab Kings
525,2020,Lucknow Super Giants,Rajasthan Royals,"Ekana Stadium, Lucknow",bowling-friendly,Rajasthan Royals,field,Lucknow Super Giants
526,2021,Delhi Capitals,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",balanced,Delhi Capitals,field,Rajasthan Royals
527,2022,Royal Challengers Bengaluru,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",balanced,Lucknow Super Giants,bat,Lucknow Super Giants
528,2023,Punjab Kings,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Lucknow Super Giants,field,Lucknow Super Giants
529,2024,Rajasthan Royals,Mumbai Indians,"Wankhede Stadium, Mumbai",balanced,Rajasthan Royals,bat,Mumbai Indians
530,2025,Chennai Super Kings,Mumbai Indians,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Chennai Super Kings,field,Chennai Super Kings
531,2016,Kolkata Knight Riders,Gujarat Titans,"PCA Stadium, Mullanpur",spin-friendly,Kolkata Knight Riders,bat,Gujarat Titans
532,2017,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",spin-friendly,Gujarat Titans,field,Gujarat Titans
533,2018,Lucknow Super Giants,Royal Challengers Bengaluru,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
534,2019,Gujarat Titans,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",spin-friendly,Rajasthan Royals,field,Rajasthan Royals
535,2020,Chennai Super Kings,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,bat,Chennai Super Kings
536,2021,Royal Challengers Bengaluru,Rajasthan Royals,"PCA Stadium, Mullanpur",bowling-friendly,Royal Challengers Bengaluru,field,Rajasthan Royals
537,2022,Royal Challengers Bengaluru,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Royal Challengers Bengaluru,field,Rajasthan Royals
538,2023,Gujarat Titans,Sunrisers Hyderabad,"Eden Gardens, Kolkata",bowling-friendly,Gujarat Titans,field,Gujarat Titans
539,2024,Royal Challengers Bengaluru,Delhi Capitals,"PCA Stadium, Mullanpur",balanced,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
540,2025,Gujarat Titans,Chennai Super Kings,"Ekana Stadium, Lucknow",bowling-friendly,Chennai Super Kings,bat,Gujarat Titans
541,2016,Royal Challengers Bengaluru,Chennai Super Kings,"Eden Gardens, Kolkata",balanced,Chennai Super Kings,field,Chennai Super Kings
542,2017,Rajasthan Royals,Punjab Kings,"Eden Gardens, Kolkata",balanced,Punjab Kings,field,Rajasthan Royals
543,2018,Sunrisers Hyderabad,Royal Challengers Bengaluru,"Wankhede Stadium, Mumbai",batting,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
544,2019,Rajasthan Royals,Gujarat Titans,"Wankhede Stadium, Mumbai",batting,Gujarat Titans,field,Gujarat Titans
545,2020,Kolkata Knight Riders,Gujarat Titans,"PCA Stadium, Mullanpur",balanced,Gujarat Titans,field,Kolkata Knight Riders
546,2021,Chennai Super Kings,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad",balanced,Chennai Super Kings,field,Chennai Super Kings
547,2022,Royal Challengers Bengaluru,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",pace-friendly,Chennai Super Kings,bat,Royal Challengers Bengaluru
548,2023,Rajasthan Royals,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",spin-friendly,Kolkata Knight Riders,field,Rajasthan Royals
549,2024,Kolkata Knight Riders,Lucknow Super Giants,"Arun Jaitley Stadium, Delhi",pace-friendly,Lucknow Super Giants,bat,Kolkata Knight Riders
550,2025,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",balanced,Mumbai Indians,field,Kolkata Knight Riders
551,2016,Kolkata Knight Riders,Lucknow Super Giants,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Lucknow Super Giants,field,Kolkata Knight Riders
552,2017,Sunrisers Hyderabad,Chennai Super Kings,"Wankhede Stadium, Mumbai",batting,Chennai Super Kings,bat,Chennai Super Kings
553,2018,Delhi Capitals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Kolkata Knight Riders,bat,Kolkata Knight Riders
554,2019,Punjab Kings,Sunrisers Hyderabad,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Punjab Kings,bat,Sunrisers Hyderabad
555,2020,Royal Challengers Bengaluru,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",spin-friendly,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru
556,2021,Kolkata Knight Riders,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",spin-friendly,Punjab Kings,field,Punjab Kings
557,2022,Rajasthan Royals,Punjab Kings,"Narendra Modi Stadium, Ahmedabad",balanced,Rajasthan Royals,field,Rajasthan Royals
558,2023,Rajasthan Royals,Mumbai Indians,"PCA Stadium, Mullanpur",spin-friendly,Rajasthan Royals,field,Mumbai Indians
559,2024,Rajasthan Royals,Kolkata Knight Riders,"PCA Stadium, Mullanpur",pace-friendly,Kolkata Knight Riders,field,Kolkata Knight Riders
560,2025,Lucknow Super Giants,Gujarat Titans,"Rajiv Gandhi Intl Stadium, Hyderabad",pace-friendly,Gujarat Titans,field,Gujarat Titans
561,2016,Royal Challengers Bengaluru,Punjab Kings,"Wankhede Stadium, Mumbai",balanced,Punjab Kings,bat,Royal Challengers Bengaluru
562,2017,Sunrisers Hyderabad,Gujarat Titans,"Eden Gardens, Kolkata",balanced,Gujarat Titans,field,Gujarat Titans
